objectnummer;instelling.naam;objectnaam;titel;beschrijving;vervaardiging.datum.begin;vervaardiging.datum.eind;vervaardiger;vervaardiger.rol;vervaardiging.plaats
0243;Design Museum Gent;kapstok;Kapstok met bladwerk;Wandkapstok met negen hangers versierd met bladwerk. Hoewel de kapstok gedateerd is met 1691 is deze vermoedelijk in de 19de eeuw vervaardigd. ;1800;1899;onbekendonbekend;ontwerperuitvoerder;BelgiëBelgië
0710;Design Museum Gent;verlichtingsarmatuurkaarsenstandaard;Wandarm voor de eigen woning van Hankar;Paul Hankar (1859-1901) ontwierp deze verguld smeedijzeren twee-armige wandarm met orchideemotief voor zijn eigen woning (1893) in de Defacqzstraat te Brussel. In 1902 was ze op de internationale tentoonstelling voor decoratieve kunsten te Turijn te zien in de kunstenaarsstudio die architect-ontwerpers Léon Sneyers (1877-1949) en Adolphe Crespin (1859-1944) in het Belgische paviljoen inrichtten als eerbetoon aan de pas overleden Hankar.;1893;1893;Hankar, PaulHankar, Paul;ontwerperopdrachtgever;Brussel
0711;Design Museum Gent;siervaas;Vaas met chrysanten;"Deze opmerkelijke vaas van Émile Gallé werd in de jaren 1970 toevallig ontdekt in een Gentse kelder, en kreeg sindsdien een passende plek in de verzameling van het Design museum Gent.
Op het doorschijnend groene glas is met email de bloemenversiering aangebracht met hoofdzakelijk witte en rode accenten. De tekening werd eerst in bruine verf op het glas geschilderd, waarna het email werd aangebracht dat op een lagere temperatuur in de oven gebakken werd. Deze techniek wordt ook voor geëmailleerd aardewerk gebruikt. Rond de hals van de vaas en de bloemen zijn toetsen goud zichtbaar.
Vijf imitatiesierstenen zijn op de bolle basis van de vaas ingewerkt; ze vormen het hart van evenveel rozig-rode chrysanten. Rondom de rand ervan zijn kleine blaadjes ingekerfd. Gallé bracht voor zijn 'émaux-bijoux' enkele lagen transparant email aan op een dun laagje bladmetaal. Zo ontstonden imitatiegemmen waarmee allerlei glazen objecten konden versierd worden.
Dit model werd door Gallé meermaals uitgevoerd en kon met verschillende types bloemen versierd worden. Een ander opvallend voorbeeld is de grote kristallen pronkvaas in een zilveren montuur van Fabergé die ca. 1896 aan Groothertog Sergei Alexandrovich van Rusland (1857-1905) werd geschonken.
﻿MovE:
Soliflore
Emile Gallé, 1896

Het moet voor Charles Eugène de Kerckhove de Denterghem, voorzitter van de “Société Royale d’Agriculture et de Botanique de Gand” in november 1896 een hele eer geweest zijn deze prachtige vaas in ontvangst te mogen nemen. Het ontwerp is van niemand minder dan de Franse art-nouveaukunstenaar Emile Gallé (1846-1904).
De ontwerper uit Nancy was helemaal geen onbekende in de wereld van de plantkunde. Hij was lid van diverse Franse en internationale botanische organisaties. In 1896 werd Gallé aangesproken door Kerckhove de Denterghem om jurylid te zijn van de vijfjaarlijkse Gentse bloemenshow, wat wij nu kennen als de Floraliën. Gallé voelde zich enorm vereerd en als blijk van erkentelijkheid ontwierp hij deze opmerkelijke soliflore. Gallé was dus niet alleen een getalenteerde botanicus, hij was eveneens een grootse glaskunstenaar.

De jonge Gallé werd opgeleid in het keramiekatelier van zijn vader, maar raakte gefascineerd door de wondere wereld van de glasblazers en startte een eigen bedrijf. Op een meesterlijke manier wist hij uiting te geven aan de art nouveau, de stijltendens van de belle epoque. De natuur was zijn belangrijkste inspiratiebron voor de decoraties, die op een technisch hoogstaande manier op het oppervlak van de vaas zijn aangebracht. Als kind van zijn tijd was het japonisme hem niet vreemd. De naturalistische voorstelling van de chrysanten was dan ook niet toevallig. Gallé benutte de vorm van de vaas om de slingerende, organische lijnvoering tot haar volle recht te laten komen.Ernest Fierens, secretaris van de Société Royale d'agriculture et de botanique de Gand, behaalde met zijn inzending voor de tentoonstelling van chrysanten, sierplanten en orchideeën van de Société Royale d'agriculture et de botanique de Gand in 1896 de eerste prijs en kreeg als beloning deze vaas.";1896;"";Gallé, EmileGallé, Emile;ontwerperuitvoerder;NancyNancy
0730;Design Museum Gent;stoel;Stoel met waterlelies;Louis Majorelle (1859-1926) nam in 1879 de meubel- en keramiekzaak van zijn vader over. Hij werd door Emile Gallé (1846-1904), waarmee hij samen de 'École de Nancy' samenbracht in 1901, beïnvloed om in de nieuwe florale art nouveau-stijl verder te werken. Deze stoel is versierd met vergulde waterlelies, een motief dat vaak terugkomt in zijn oeuvre vanaf de Wereldtentoonstelling van 1900 in Parijs. Een gelijkaaridge stoel (met andere zitting) is terug te vinden in de collectie van de Koninklijke Musea voor Schone Kunsten in Brussel.;1900;1903;Majorelle, LouisMajorelle, Louis;ontwerperuitvoerder;NancyNancy
0780;Design Museum Gent;vaas;Vaas met rozen;"Slanke vaas met twee hooggeplaatste oren, gevat in een zilveren montuur. Het lichaam is bedekt met een rozerode metaalglazuur waarin naturalistische klaprozen zijn aangebracht met emailverf. De voet is vervat in een zilveren standring, waaruit aan weerszijden een klaproos met bladeren omhoog schiet langs de vaas.
Edmond Lachenal vervaardigde in de jaren 1890 af en toe keramische objecten met metaalglazuren in de ateliers van Keller & Guérin te Lunéville. Hij deed dit om een financieel slechte periode te overbruggen.
Het zilveren montuur is mogelijk van een latere datum en niet origineel bij de vaas geconcipieerd.Het Musée d'Orsay bezit een gelijkaardige vaas, zonder oren, met een decor van irissen, zonder montuur (inv. nr. OAO 1354).";1895;1895;Lachenal, EdmondKeller & GuérinM.V.;ontwerperuitvoerderuitvoerder;Châtillon-sous-BagneuxLunévilleParijs
0805_0-2;Design Museum Gent;vargueno;Vargueño;Deze Spaanse vargueño, ook bekend onder de recentere benaming 'escritorio de Salamanca’, is een schrijfmeubel bestaande uit twee mobiele koffers met smeedijzeren handvaten. Het onderste gedeelte is een houten ‘pie cerrado’ (gesloten voet) met twee deuren en twee schuiven, versierd met geprofileerde ruiten. Het bovenste gedeelte is afgesloten door een neerklapbaar blad, versierd met uitgesneden en vergulde metalen platen in veelhoekige vormen, aangebracht op een rode fluwelen ondergrond. Het neergeklapte blad, steunend op twee schelpvormige dwarsstukken, dient als schrijftafel. Binnenin is de koffer samengesteld uit twaalf grote lades en een deurtje met daarachter drie kleinere lades. Het binnenwerk bestaat uit gebeeldhouwd en verguld hout afgewerkt met ivoren of benen inlegwerk en schelpvormige knoppen. De decoratie is kenmerkend voor de Spaanse mudejarstijl. De vargueno geldt als prototype van de 17de-eeuwse kunstkabinetten. Een vergelijkbaar meubel is te vinden in de collectie van de Koninklijke Musea voor Kunst en Geschiedenis in Brussel.;1620;1620;onbekendonbekend;ontwerperuitvoerder;SpanjeSpanje
0805_1-2;Design Museum Gent;vargueno;Bovenste deel van een vargueno;Deze Spaanse vargueño, ook bekend onder de recentere benaming 'escritorio de Salamanca’, is een schrijfmeubel bestaande uit twee mobiele koffers met smeedijzeren handvaten. Het bovenste gedeelte is afgesloten door een neerklapbaar blad, versierd met uitgesneden en vergulde metalen platen in veelhoekige vormen, aangebracht op een rode fluwelen ondergrond. Het neergeklapte blad, steunend op twee schelpvormige dwarsstukken, dient als schrijftafel. Binnenin is de koffer samengesteld uit twaalf grote lades en een deurtje met daarachter drie kleinere lades. Het binnenwerk bestaat uit gebeeldhouwd en verguld hout afgewerkt met ivoren of benen inlegwerk en schelpvormige knoppen. De decoratie is kenmerkend voor de Spaanse mudejarstijl. De vargueno geldt als prototype van de 17de-eeuwse kunstkabinetten.;1620;1620;onbekendonbekend;ontwerperuitvoerder;SpanjeSpanje
0812_0-2;Design Museum Gent;stoel;Twee stoelen voor het rooksalon van Villa Les Glycines;"In het meubilair voor Philippe Wolfers’ rookkamer in het landhuis ""Les Glycines"" koos architect Paul Hankar voor een japoniserende sfeer. De gekruiste lederen banden van de zitting en de rug en de elegante houtverbindingen onderlijnen de oosterse inspiratie. Ook de contrasterende combinatie van donkere met lichte houtsoorten is kenmerkend voor zijn ontwerpen uit deze periode en ontleend aan traditionele Japanse interieurs. Hier combineerde Hankar eiken- en mahoniehout met donker leder.Op het einde van zijn leven kreeg de Brusselse art-nouveau-architect Paul Hankar de opdracht om een buitenverblijf te ontwerpen voor zijn vriend Philippe Wolfers. Die had in 1899 samen met zijn broer Max en hun neef Albert een domein gekocht in Terhulpen waar ze elk een cottage lieten bouwen, en Philippe Wolfers ook een atelier. Het rooksalon van Villa Les Glycines, wat blauweregen betekent, ontwierp Hankar in een japonistische stijl. De geweven lederen stroken van de zitting, de geprofileerde houtverbindingen en de combinatie van een donkere met een lichte houtsoort zijn oosterse elementen. Ook in de balustrades van de woning en in de tuin was die Japanse invloed merkbaar. Daarnaast was Hankar voor de opbouw van de meubels schatplichtig aan de neo-Vlaamse-renaissance en aan het rationalisme van de Franse architect Eugène Viollet-Le-Duc.";18991900;19001901;Hankar, Paulonbekend;ontwerperuitvoerder;BrusselBrussel
0812_1-2;Design Museum Gent;stoel;Stoel voor het rooksalon van Villa Les Glycines;"In het meubilair voor Philippe Wolfers’ rookkamer in het landhuis ""Les Glycines"" koos architect Paul Hankar voor een japoniserende sfeer. De gekruiste lederen banden van de zitting en de rug en de elegante houtverbindingen onderlijnen de oosterse inspiratie. Ook de contrasterende combinatie van donkere met lichte houtsoorten is kenmerkend voor zijn ontwerpen uit deze periode en ontleend aan traditionele Japanse interieurs. Hier combineerde Hankar eiken- en mahoniehout met donker leder.Op het einde van zijn leven kreeg de Brusselse art-nouveau-architect Paul Hankar de opdracht om een buitenverblijf te ontwerpen voor zijn vriend Philippe Wolfers. Die had in 1899 samen met zijn broer Max en hun neef Albert een domein gekocht in Terhulpen waar ze elk een cottage lieten bouwen, en Philippe Wolfers ook een atelier. Het rooksalon van Villa Les Glycines, wat blauweregen betekent, ontwierp Hankar in een japonistische stijl. De geweven lederen stroken van de zitting, de geprofileerde houtverbindingen en de combinatie van een donkere met een lichte houtsoort zijn oosterse elementen. Ook in de balustrades van de woning en in de tuin was die Japanse invloed merkbaar. Daarnaast was Hankar voor de opbouw van de meubels schatplichtig aan de neo-Vlaamse-renaissance en aan het rationalisme van de Franse architect Eugène Viollet-Le-Duc.";18991900;19001901;Hankar, Paulonbekend;ontwerperuitvoerder;BrusselBrussel
0812_2-2;Design Museum Gent;stoel;Stoel voor het rooksalon van Villa Les Glycines;"In het meubilair voor Philippe Wolfers’ rookkamer in het landhuis ""Les Glycines"" koos architect Paul Hankar voor een japoniserende sfeer. De gekruiste lederen banden van de zitting en de rug en de elegante houtverbindingen onderlijnen de oosterse inspiratie. Ook de contrasterende combinatie van donkere met lichte houtsoorten is kenmerkend voor zijn ontwerpen uit deze periode en ontleend aan traditionele Japanse interieurs. Hier combineerde Hankar eiken- en mahoniehout met donker leder.Op het einde van zijn leven kreeg de Brusselse art-nouveau-architect Paul Hankar de opdracht om een buitenverblijf te ontwerpen voor zijn vriend Philippe Wolfers. Die had in 1899 samen met zijn broer Max en hun neef Albert een domein gekocht in Terhulpen waar ze elk een cottage lieten bouwen, en Philippe Wolfers ook een atelier. Het rooksalon van Villa Les Glycines, wat blauweregen betekent, ontwierp Hankar in een japonistische stijl. De geweven lederen stroken van de zitting, de geprofileerde houtverbindingen en de combinatie van een donkere met een lichte houtsoort zijn oosterse elementen. Ook in de balustrades van de woning en in de tuin was die Japanse invloed merkbaar. Daarnaast was Hankar voor de opbouw van de meubels schatplichtig aan de neo-Vlaamse-renaissance en aan het rationalisme van de Franse architect Eugène Viollet-Le-Duc.";18991900;19001901;Hankar, Paulonbekend;ontwerperuitvoerder;BrusselBrussel
0832;Design Museum Gent;paneel (objectnaam);Paneel met maaswerk;Massief paneel met gevlamd maaswerk versierd met rozetten. Maaswerk met visblaasmotieven was kenmerkend voor het laatgotische raamwerk van vensters. De opbouw van het paneel vertoont gelijkenissen met een ander paneel in de collectie van het museum.;1400;1499;onbekendonbekend;ontwerperuitvoerder;""
0833;Design Museum Gent;paneel (objectnaam);Paneel met maaswerk;Massief paneel met gevlamd maaswerk versierd met rozetten. Maaswerk met visblaasmotieven was kenmerkend voor het laatgotische raamwerk van vensters. De opbouw van het paneel vertoont gelijkenissen met een ander paneel in de collectie van het museum.;1400;1499;onbekendonbekend;ontwerperuitvoerder;""
0834;Design Museum Gent;paneel (objectnaam);Paneel met maaswerk;Massief paneel met gevlamd maaswerk versierd met drie centrale platgedrukte rozetten. Maaswerk met visblaasmotieven was kenmerkend voor het laatgotische raamwerk van vensters.;1400;1499;onbekendonbekend;ontwerperuitvoerder;""
0835;Design Museum Gent;paneel (objectnaam);Paneel met centraal portretmedaillon;Massief paneel met een portret in een centraal medaillon van laurierbladeren. Het medaillon is omgeven door guirlandes. De zijkanten van de rugzijde van het paneel zijn afgeschuind. Twee gelijkaardige panelen in de collectie van het museum met een centraal portretmedaillon en een cartouche zijn vermoedelijk afkomstig van hetzelfde meubel.;1530;1580;onbekendonbekend;ontwerperuitvoerder;FrankrijkFrankrijk
0836;Design Museum Gent;paneel (objectnaam);Paneel met ajour maaswerk;Massief paneel met opengewerkt maaswerk met visblaasmotief rond een centrale vierpas. Maaswerk met visblaasmotieven was kenmerkend voor het laatgotische raamwerk van vensters. Er zijn sporen van rode en groene verf en aan de lange zijden werd het paneel afgewerkt met een geprofileerde lijst.;1400;1499;onbekendonbekend;ontwerperuitvoerder;""
0837;Design Museum Gent;paneel (objectnaam);Paneel met centraal portretmedaillon en bladwerk;Massief paneel met mannenportret in een centraal medaillon. Boven en onder het medaillon is het paneel versierd met bladwerk en voluten. ;1530;1599;onbekendonbekend;ontwerperuitvoerder;""
0838;Design Museum Gent;paneel (objectnaam);Paneel met lambrekijn en acanthusbladeren;"Massief paneel met symmetrisch acanthusbladwerk. Ook de profielen op de lange zijden werden uit hetzelfde hout gesneden. In het centrum is het paneel versierd met een lambrekijn; een drapering met drie kwasten. Tussen de acanthusbladeren werden verschillende kleine bloemen gesneden.";1700;1730;onbekendonbekend;ontwerperuitvoerder;""
0839;Design Museum Gent;paneel (objectnaam);Paneel met vrouw in een nis;Massief paneel met een vrouw in een nis. De figuur steekt haar linkerhand op. De nis is links en rechts geflankeerd door een gestileerde vogel, mogelijk een pelikaan, en bovenop de nis staat vermoedelijk een adelaar met geopende vleugels.;1620;1640;onbekendonbekend;ontwerperuitvoerder;FrankrijkFrankrijk
0840;Design Museum Gent;paneel (objectnaam);Paneel met centraal portretmedaillon;Massief paneel met vrouwenportret in een centraal medaillon. Het bladmedaillon is omgeven door bladarabesken. ;1520;1580;onbekendonbekend;ontwerperuitvoerder;FrankrijkFrankrijk
0841;Design Museum Gent;paneel (objectnaam);Paneel met centraal portretmedaillon;Massief paneel met mannenportret in een centraal medaillon. Boven het medaillon is het paneel versierd met een gevleugelde draak.;1520;1550;onbekendonbekend;ontwerperuitvoerder;""
0842;Design Museum Gent;kastpaneel (objectnaam);Paneel met centraal portretmedaillon;Massief paneel met vrouwenportret in een centraal medaillon. Het medaillon is omgeven door grotesken. Het paneel vormde vermoedelijk het voorbord van een lade. Op de linker- en rechterachterzijde zijn zwaluwstaartverbindingen zichtbaar. De vier randprofielen werden in verstek samengebracht. Aan de lange zijden werden ze uit het paneel zelf gesneden, terwijl ze aan de korte zijden met nagels aan het paneel bevestigd werden. Een gelijkaardig paneel met een mannenportret in een centraal medaillon uit de collectie van het museum is vermoedelijk afkomstig van hetzelfde meubel.;1520;1570;onbekendonbekend;ontwerperuitvoerder;""
0843;Design Museum Gent;paneel (objectnaam);Paneel met maaswerk;Smal massief paneel met gevlamd maaswerk. Maaswerk met visblaasmotieven was kenmerkend voor het laatgotische raamwerk van vensters.;1400;1499;onbekendonbekend;ontwerperuitvoerder;""
0844;Design Museum Gent;paneel (objectnaam);Paneel met maaswerk;Massief paneel met maaswerk met centrale rozet en visblaasmotief. Maaswerk met visblaasmotieven was kenmerkend voor het laatgotische raamwerk van vensters. ;1400;1520;onbekendonbekend;ontwerperuitvoerder;""
0846;Design Museum Gent;balkzoolpaneel (objectnaam);Paneel met wapenschild van bisschop Antonius Triest;Massief paneel met het wapenschild van Antonius Triest die bisschop van Gent was tussen 1622 en 1657. Op het wapenschild staan twee jachthorens boven een windhond. Het schild is bekroond met een bisschopshoed en een koordenarabesk die aan weerszijden van het schild zes kwasten draagt.;1622;1657;onbekendonbekend;ontwerperuitvoerder;Zuidelijke NederlandenZuidelijke Nederlanden
0847;Design Museum Gent;paneel (objectnaam);Paneel met maaswerk;Massief paneel met maaswerk versierd met visblaasmotieven en een lelie. Maaswerk met visblaasmotieven was kenmerkend voor het laatgotische raamwerk van vensters. ;1400;1520;onbekendonbekend;ontwerperuitvoerder;FrankrijkFrankrijk
0848;Design Museum Gent;paneel (objectnaam);Paneel met wapenschild in maaswerk;Massief paneel met gevlamd maaswerk. Maaswerk met visblaasmotieven was kenmerkend voor het laatgotische raamwerk van vensters. Centraal op het paneel is een gekroond wapenschild afgebeeld met drie Franse lelies. Op de brede bovenrand zijn verbindingsgaten te zien. Op de achterkant van het paneel werd een versiering ingekrast. ;1400;1499;onbekendonbekend;ontwerperuitvoerder;FrankrijkFrankrijk
0849;Design Museum Gent;paneel (objectnaam);Paneel met maaswerk;Massief paneel met maaswerk met bovenaan vijf rozetten. Maaswerk was kenmerkend voor het gotische raamwerk van vensters. De versiering wordt begrensd door een V-vormige kantlijst met in elke hoek een hoekkruis. Op de brede bovenrand zijn sporen te zien van de aanzettekening en 14 verbindingsgaten. ;1400;1499;onbekendonbekend;ontwerperuitvoerder;""
0850;Design Museum Gent;paneel (objectnaam);Briefpaneel met accoladebogen;Massief briefpaneel met meerdere ruggen, aan de uiteinden versierd met accoladebogen opgevuld met bloemtakken.;1400;1450;onbekendonbekend;ontwerperuitvoerder;""
0851;Design Museum Gent;paneel (objectnaam);Paneel met portretmedaillon;Massief paneel met vrouwenportret in een medaillon. Onder het medaillon is het paneel versierd met een lederversiering. De zwikken boven het medaillon zijn opgevuld met bladwerk.;1520;1560;onbekendonbekend;ontwerperuitvoerder;""
0853;Design Museum Gent;kapiteel;Kapiteel met engelenkop;Massief kapiteel met een engelenkop boven een bloemenslinger. Het fragment was mogelijk onderdeel van een meubel of een lambrisering.;1660;1720;onbekendonbekend;ontwerperuitvoerder;""
0854;Design Museum Gent;wandrek;Wandrek met 7 haken;Dit wandrek met zeven haken is versierd met verschillende lijsten. Aan de haken en op de plank werd vermoedelijk vaatwerk gehangen en geplaatst. De sterk geprofileerde kroonlijst wordt gedragen door drie gesneden leeuwenkoppen omringd door knorren. Onder elke leeuwenkop is een rozet aangebracht, versierd met kopnagels. Verder wordt het wandrek versierd met schubben en onderaan een geholde tandlijst. ;1800;1899;onbekendonbekend;ontwerperuitvoerder;""
0855;Design Museum Gent;paneel (objectnaam);Paneel met ajour vlechtwerk;Massief paneel met ajour vlechtwerk met twee rozetten. Als achtergrond werd een stuk fluweel aan het paneel toegevoegd.;1400;1499;onbekendonbekend;ontwerperuitvoerder;""
0856;Design Museum Gent;paneel (objectnaam);Paneel met ajour maaswerk;Massief paneel met opengewerkt maaswerk. Maaswerk was kenmerkend voor het gotische raamwerk van vensters.;1400;1450;onbekendonbekend;ontwerperuitvoerder;""
0857;Design Museum Gent;paneel (objectnaam);Paneel met centraal portretmedaillon en grotesken;Massief paneel met een vrouwenportret in een centraal medaillon. Het medaillon is omgeven door grotesken met bovenaan twee engelenkopjes. ;1880;1940;onbekendonbekend;ontwerperuitvoerder;VlaanderenVlaanderen
0860;Design Museum Gent;tafel (dragend meubilair);Tafeltje met geslingerde poten;Dit tafeltje met een fijn uitgewerkt rechthoekig tafelblad steunt op getroste poten, onderaan verbonden met een H-verbinding. ;1800;1899;onbekendonbekend;ontwerperuitvoerder;""
0861;Design Museum Gent;paneel (objectnaam)kabinet;Paneel met Apollo en Cyparissus;Paneel met een voorstelling van Apollo die Cyparissus in een boom verandert. Deze afbeelding is afkomstig uit een serie prenten van de hand van Antonio Tempesta uit 1606, ter illustratie van Ovidius' 'Metamorfosen'. Het paneel is mogelijk afkomstig van een vermoedelijk 17de-eeuwse Antwerpse kunstkast, waarvan ook het gelijkaardige paneel met een voorstelling van Apollo die in een olijfboom verandert uit de collectie van het museum afkomstig zou zijn. ;1606;1650;onbekendonbekend;ontwerperuitvoerder;Antwerpen (stad)Antwerpen (stad)
0862;Design Museum Gent;paneel (objectnaam)kabinet;Paneel met Apollo;Paneel met een voorstelling van Apollo die in een olijfboom verandert. Deze afbeelding is afkomstig uit een serie prenten van de hand van Antonio Tempesta uit 1606, ter illustratie van Ovidius' Metamorfosen. Het paneel is mogelijk afkomstig van een vermoedelijk 17de-eeuwse Antwerpse kunstkast, waarvan ook het gelijkaardige paneel met een voorstelling van Apollo en Cyparissus uit de collectie van het museum zou zijn.;1606;1650;onbekendonbekend;ontwerperuitvoerder;Antwerpen (stad)Antwerpen (stad)
0863;Design Museum Gent;paneel (objectnaam)kabinet;Paneel met Mercurius en Herse;Paneel met vermoedelijk een voorstelling van Mercurius en Herse.;1620;1660;onbekendonbekend;ontwerperuitvoerder;FrankrijkFrankrijk
